Rank,Driver,Frequency,Avg Intensity,Weight,Opportunity Score,Example Snippets
1,Fit / Size Uncertainty,41,3.0,1.0,123.0,User is unsure whether to order a larger size for Roadster cargo pants because of inconsistent sizing reports. | The user wants to purchase cargo pants but is unsure if the size will fit and asks others for sizing advice. | User is concerned about Myntra’s return policy for a maxi dress and fears being stuck with a size that doesn’t fit.
2,Comparison Paralysis,34,3.0,1.0,102.0,"User is overwhelmed by having five red jackets in their wishlist and wants help deciding which to buy. | User has five navy watches saved and is unsure which one to buy, asking for help deciding. | The user is comparing two similar handbags from different brands and is unsure which will be more durable, despite a slight price difference."
3,Price / Deal-Timing Uncertainty,30,3.0,1.0,90.0,"They have kept the cargo pants in their wishlist for two months, hoping the price will fall below Rs. 2363 before making a purchase. | User is unsure whether the current price is a good deal or if they should wait for a sale event. | User is unsure whether the current price of the kurta is a good deal or if they should wait for a sale event."
4,Social Validation Seeking,26,3.0,1.0,78.0,User loves the dress but is unsure how to style it and asks for advice. | User is unsure if the item is suitable for a wedding and wants help with accessorizing. | User questions whether the reviews are genuine and asks if anyone has actually purchased the jeans.
5,Return / Exchange Friction Fear,18,3.78,1.0,68.04,"User stopped buying from Myntra because returning watches was too difficult, yet still keeps some items in their wishlist. | User stopped buying from Myntra due to the hassle of returning heels, but still keeps some items in their wishlist. | User stopped buying from Myntra because returning t-shirts was too troublesome, yet they still keep some items in their wishlist."
6,External Research Before Purchase,21,3.0,1.0,63.0,User watched several YouTube reviews before deciding whether to keep the item in their wishlist. | The user watched multiple YouTube reviews before deciding to add the Puma t‑shirt to their wishlist. | The user watched multiple YouTube reviews to decide whether to keep the Puma kurta in their wishlist.
7,Wishlist-as-Bookmark Behavior,22,2.5,1.0,55.0,"User stopped buying from Myntra due to the hassle of returning heels, but still keeps some items in their wishlist. | User stopped buying from Myntra because returning handbags was too troublesome, yet still keeps a few items in their wishlist. | User stopped buying from Myntra because returning jeans was too troublesome, yet they still keep some items in their wishlist."
8,Styling / Occasion Uncertainty,18,3.0,1.0,54.0,User loves the dress but is unsure how to style it and asks for advice. | User is unsure if the item is suitable for a wedding and wants help with accessorizing. | User likes the jacket but is unsure how to style it with other pieces.
9,Trust / Review Credibility Doubt,17,3.0,1.0,51.0,User doubts the material quality of the item due to the absence of photo reviews. | The user doubts the authenticity of the product reviews and wants confirmation that real buyers have purchased the sneakers. | User questions whether the reviews are genuine and asks if anyone has actually purchased the jeans.
10,Wishlist Abandonment / Forgetting,0,0.0,1.0,0.0,
